FREQ_code,REF_AREA_code,IND_TYPE_code,LIVELLO_code,VALUE,date
A,ATO1,AES_EFF,1,23938,1999
A,ATO1,AES_EFF,1,25113,2005
A,ATO1,AES_EFF,1,26456,2008
A,ATO1,AES_EFF,1,65004,2012
A,ATO1,AES_EFF,2,59846,1999
A,ATO1,AES_EFF,2,62334,2005
A,ATO1,AES_EFF,2,68504,2008
A,ATO1,AES_EFF,2,425303,2012
A,ATO1,AES_EFF,3,522549,1999
A,ATO1,AES_EFF,3,523149,2005
A,ATO1,AES_EFF,3,524919,2008
A,ATO1,AES_EFF,3,356846,2012
A,ATO1,AES_EFF,9,606333,1999
A,ATO1,AES_EFF,9,610596,2005
A,ATO1,AES_EFF,9,619879,2008
A,ATO1,AES_EFF,9,847153,2012
A,ATO1,DEP_ESER,1,101,1999
A,ATO1,DEP_ESER,1,105,2005
A,ATO1,DEP_ESER,1,112,2008
A,ATO1,DEP_ESER,1,179,2012
A,ATO1,DEP_ESER,2,58,1999
A,ATO1,DEP_ESER,2,64,2005
A,ATO1,DEP_ESER,2,65,2008
A,ATO1,DEP_ESER,2,77,2012
A,ATO1,DEP_ESER,3,20,1999
A,ATO1,DEP_ESER,3,21,2005
A,ATO1,DEP_ESER,3,21,2008
A,ATO1,DEP_ESER,3,14,2012
A,ATO1,DEP_ESER,9,179,1999
A,ATO1,DEP_ESER,9,190,2005
A,ATO1,DEP_ESER,9,198,2008
A,ATO1,DEP_ESER,9,270,2012
A,ATO10,AES_EFF,3,1895606,2005
A,ATO10,AES_EFF,3,1895606,2008
A,ATO10,AES_EFF,3,1817852,2012
A,ATO10,AES_EFF,9,1895606,2005
A,ATO10,AES_EFF,9,1895606,2008
A,ATO10,AES_EFF,9,1817852,2012
A,ATO10,DEP_ESER,3,3,2005
A,ATO10,DEP_ESER,3,3,2008
A,ATO10,DEP_ESER,3,2,2012
A,ATO10,DEP_ESER,9,3,2005
A,ATO10,DEP_ESER,9,3,2008
A,ATO10,DEP_ESER,9,2,2012
A,ATO11,AES_EFF,1,10937,1999
A,ATO11,AES_EFF,1,10986,2005
A,ATO11,AES_EFF,1,3204,2008
A,ATO11,AES_EFF,1,9639,2012
A,ATO11,AES_EFF,2,39898,1999
A,ATO11,AES_EFF,2,40362,2005
A,ATO11,AES_EFF,2,56093,2008
A,ATO11,AES_EFF,2,120398,2012
A,ATO11,AES_EFF,3,758034,1999
A,ATO11,AES_EFF,3,756819,2005
A,ATO11,AES_EFF,3,784695,2008
A,ATO11,AES_EFF,3,579051,2012
A,ATO11,AES_EFF,9,808869,1999
A,ATO11,AES_EFF,9,808167,2005
A,ATO11,AES_EFF,9,843992,2008
A,ATO11,AES_EFF,9,709088,2012
A,ATO11,DEP_ESER,1,12,1999
A,ATO11,DEP_ESER,1,12,2005
A,ATO11,DEP_ESER,1,10,2008
A,ATO11,DEP_ESER,1,15,2012
A,ATO11,DEP_ESER,2,13,1999
A,ATO11,DEP_ESER,2,13,2005
A,ATO11,DEP_ESER,2,13,2008
A,ATO11,DEP_ESER,2,17,2012
A,ATO11,DEP_ESER,3,22,1999
A,ATO11,DEP_ESER,3,22,2005
A,ATO11,DEP_ESER,3,25,2008
A,ATO11,DEP_ESER,3,21,2012
A,ATO11,DEP_ESER,9,47,1999
A,ATO11,DEP_ESER,9,47,2005
A,ATO11,DEP_ESER,9,48,2008
A,ATO11,DEP_ESER,9,52,2012
A,ATO12,AES_EFF,1,17546,1999
A,ATO12,AES_EFF,1,17861,2005
A,ATO12,AES_EFF,1,7856,2008
A,ATO12,AES_EFF,1,34937,2012
A,ATO12,AES_EFF,2,121417,1999
A,ATO12,AES_EFF,2,161417,2005
A,ATO12,AES_EFF,2,202587,2008
A,ATO12,AES_EFF,2,132341,2012
A,ATO12,AES_EFF,3,304283,1999
A,ATO12,AES_EFF,3,350161,2005
A,ATO12,AES_EFF,3,352106,2008
A,ATO12,AES_EFF,3,327238,2012
A,ATO12,AES_EFF,9,443246,1999
A,ATO12,AES_EFF,9,529439,2005
A,ATO12,AES_EFF,9,562550,2008
A,ATO12,AES_EFF,9,494516,2012
